Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Volkswagen Passat,214,72,197.22,"1,287",705,82.55
Porsche Cayenne,296,195,51.79,"1,286",767,67.67
Buick Enclave,253,132,91.67,"1,271",805,57.89
Honda Passport,239,423,-43.50,"1,258","1,390",-9.50
Volvo XC60,189,219,-13.70,"1,226",904,35.62
Chevrolet Malibu,155,265,-41.51,"1,212","1,441",-15.89
Chevrolet Suburban,221,82,169.51,"1,199",666,80.03
Mercedes-Benz C-Class,231,341,-32.26,"1,184","1,496",-20.86
BMW 2-Series,237,147,61.22,"1,177",504,133.53
Lincoln MKC,230,187,22.99,"1,162",907,28.11
Chevrolet Corvette,295,160,84.38,"1,154",669,72.50
Mercedes-Benz GL/GLS-Class,180,189,-4.76,"1,148","1,082",6.10
Buick Encore,202,732,-72.40,"1,132","3,788",-70.12
Mazda 6,276,149,85.23,"1,128",464,143.10
Chevrolet Express,99,189,-47.62,"1,093","1,364",-19.87
Mercedes-Benz A-Class,183,191,-4.19,"1,082","1,083",-0.09
Infiniti QX50,201,108,86.11,"1,080",810,33.33
Land Rover Defender,129,5,"2,480.00","1,057",11,"9,509.09"
BMW 4-Series,221,68,225.00,"1,052",328,220.73
Dodge Challenger,214,144,48.61,"1,050",626,67.73
Audi Q8,211,100,111.00,"1,031",497,107.44
Audi A4,224,166,34.94,"1,017",761,33.64
Mercedes-Benz E / CLS-Class,209,182,14.84,978,775,26.19
Cadillac XT6,175,127,37.80,974,541,80.04
Lincoln Aviator,191,154,24.03,926,719,28.79
Jaguar F-Pace,184,126,46.03,908,827,9.79
Lincoln MKX/Nautilus,190,148,28.38,860,663,29.71
Genesis GV80,168,0,0.00,842,0,0.00
Mazda MX-5 Miata,149,165,-9.70,789,356,121.63
Land Rover Range Rover,114,114,0.00,775,542,42.99
Land Rover Range Rover Velar,149,108,37.96,769,725,6.07
Lexus ES,153,75,104.00,750,505,48.51
Porsche 911,178,108,64.81,746,444,68.02
Nissan Altima,140,129,8.53,743,682,8.94
Mini Countryman,146,121,20.66,743,639,16.28
Mercedes-Benz CLA-Class,146,99,47.47,741,608,21.88
Ford Fusion,120,472,-74.58,693,"3,499",-80.19
Kia Stinger,147,187,-21.39,693,471,47.13
Infiniti QX60,95,97,-2.06,687,572,20.10
BMW X4,139,112,24.11,674,474,42.19
Kia K5,147,0,0.00,660,0,0.00
Lincoln Navigator,125,80,56.25,642,423,51.77
Nissan Leaf,129,111,16.22,639,944,-32.31
Chevrolet Camaro,87,248,-64.92,610,842,-27.55
Land Rover Range Rover Evoque,75,134,-44.03,609,741,-17.81
Cadillac CT5,100,89,12.36,593,301,97.01
Infiniti Q50,98,68,44.12,568,480,18.33
Audi A6,91,47,93.62,566,229,147.16
Mercedes-Benz G-Class,76,64,18.75,560,330,69.70
BMW X6,113,96,17.71,559,463,20.73
Mercedes-Benz Metris,106,65,63.08,539,343,57.14
Acura ILX,73,77,-5.19,533,257,107.39
BMW 5-Series,87,53,64.15,523,452,15.71
BMW X7,96,156,-38.46,522,579,-9.84
Volvo 60-Series,81,103,-21.36,521,526,-0.95
Genesis G70,128,92,39.13,521,359,45.13
Chrysler 300,88,34,158.82,504,280,80.00
Tesla Model X,84,95,-11.58,499,676,-26.18
BMW X2,121,34,255.88,495,337,46.88
Mitsubishi Mirage,102,118,-13.56,493,727,-32.19
Infiniti QX80,74,47,57.45,476,256,85.94
Porsche Taycan,94,21,347.62,446,69,546.38
Cadillac CT4,81,11,636.36,437,26,"1,580.77"
Subaru Legacy,51,110,-53.64,437,469,-6.82
Land Rover Discovery Sport,41,68,-39.71,402,420,-4.29
Nissan Maxima,95,166,-42.77,344,646,-46.75
Nissan Armada,65,23,182.61,340,116,193.10
Honda Fit,11,170,-93.53,340,683,-50.22
BMW 8-Series,65,61,6.56,339,236,43.64
Porsche 718,75,27,177.78,337,74,355.41
Hyundai Veloster,108,123,-12.20,328,407,-19.41
Alfa Romeo Stelvio,59,37,59.46,307,160,91.88
Nissan Titan,71,187,-62.03,304,800,-62.00
Tesla Model S,51,63,-19.05,301,510,-40.98
Audi A7,60,47,27.66,293,216,35.65
Nissan NV,91,44,106.82,285,246,15.85
Lexus LX,35,55,-36.36,263,440,-40.23
Ram ProMaster City,64,72,-11.11,256,255,0.39
Toyota Supra,79,10,690.00,244,87,180.46
Toyota Sequoia,44,22,100.00,239,152,57.24
Honda Insight,30,22,36.36,193,174,10.92
Infiniti QX55,64,0,0.00,190,0,0.00
Infiniti Q60,38,23,65.22,188,125,50.40
Kia Sedona,1,437,-99.77,184,"1,428",-87.11
Genesis GV70,131,0,0.00,176,0,0.00
Genesis G80,30,7,328.57,175,75,133.33
Volkswagen Taos,59,0,0.00,174,0,0.00
Maserati Levante,24,23,4.35,173,95,82.11
Volkswagen Arteon,37,32,15.63,169,157,7.64
Subaru BRZ,4,66,-93.94,169,388,-56.44
Honda Clarity FCV,29,88,-67.05,166,442,-62.44
Lexus GX,21,32,-34.38,161,215,-25.12
Toyota Land Cruiser,30,5,500.00,153,46,232.61
Audi eTron,1,34,-97.06,144,184,-21.74
Lexus LC,36,1,"3,500.00",142,16,787.50
Audi TT,34,30,13.33,135,100,35.00
Mercedes-Benz AMG GT,24,38,-36.84,134,152,-11.84
Porsche Panamera,34,32,6.25,132,126,4.76
Audi A3,2,218,-99.08,131,864,-84.84
Lexus RC,23,10,130.00,130,80,62.50
BMW Z4,30,27,11.11,117,108,8.33
Jaguar F-Type,21,21,0.00,115,97,18.56
Alfa Romeo Giulia,26,19,36.84,115,83,38.55
Jeep Renegade,31,43,-27.91,107,195,-45.13
Land Rover Discovery / LR4,21,29,-27.59,103,177,-41.81
Toyota Avalon,14,15,-6.67,102,93,9.68
Audi R8,19,12,58.33,93,41,126.83
BMW 7-Series,15,18,-16.67,85,83,2.41
Jaguar E-Pace,11,12,-8.33,80,165,-51.52
Dodge Journey,7,48,-85.42,80,217,-63.13
Volvo 90-Series,12,4,200.00,68,35,94.29
Maserati Ghibli,8,15,-46.67,68,50,36.00
Toyota 86 / FR-S,7,10,-30.00,67,91,-26.37
Mercedes-Benz S-Class,3,59,-94.92,59,241,-75.52
BMW i3,11,20,-45.00,55,104,-47.12
Jaguar I-Pace,6,6,0.00,52,36,44.44
Jaguar XF,10,3,233.33,49,23,113.04
Fiat 124 Spider,7,24,-70.83,46,87,-47.13
Audi A8,8,18,-55.56,41,88,-53.41
Nissan GT-R,4,5,-20.00,25,24,4.17
Mercedes-Benz SL-Class,1,13,-92.31,25,41,-39.02
Toyota Mirai,1,1,0.00,24,5,380.00
Lincoln MKZ,4,0,0.00,24,61,-60.66
Genesis G90,2,3,-33.33,23,18,27.78
Lexus LS,4,2,100.00,23,14,64.29
Maserati Quattroporte,3,2,50.00,23,10,130.00
Ford Bronco,7,0,0.00,21,0,0.00
Nissan 370Z,2,42,-95.24,19,145,-86.90
Buick Regal,1,23,-95.65,19,169,-88.76
Mercedes-Benz SLC-Class,1,18,-94.44,19,66,-71.21
Acura NSX,1,1,0.00,16,9,77.78
Fiat 500X,3,3,0.00,15,22,-31.82
Lincoln Continental,2,6,-66.67,15,34,-55.88
Ford GT,2,2,0.00,13,5,160.00
Alfa Romeo 4C,3,4,-25.00,12,15,-20.00
Chevrolet Cruze,2,77,-97.40,12,494,-97.57
Chevrolet Impala,1,16,-93.75,12,204,-94.12
Cadillac CTS,1,7,-85.71,9,53,-83.02
Buick LaCrosse,1,17,-94.12,9,86,-89.53
Jeep Grand Wagoneer,4,0,0.00,4,0,0.00
Fiat 500L,1,1,0.00,3,8,-62.50
Cadillac CT6,1,15,-93.33,3,93,-96.77
