"Month","Month LY","Change","YTD","YTD LY","YTD Change","VehicleMake","VehicleModel"
224,55,307.27,1297,631,"105.55","DODGE","CHARGER"
196,60,226.67,1291,405,"218.77","MERCEDES-BENZ","GLA-CLASS"
214,72,197.22,1287,705,"82.55","VOLKSWAGEN","PASSAT"
296,195,51.79,1286,767,"67.67","PORSCHE","CAYENNE"
253,132,91.67,1271,805,"57.89","BUICK","ENCLAVE"
239,423,-43.5,1258,1390,"-9.50","HONDA","PASSPORT"
189,219,-13.7,1226,904,"35.62","VOLVO","XC60"
155,265,-41.51,1212,1441,"-15.89","CHEVROLET","MALIBU"
221,82,169.51,1199,666,"80.03","CHEVROLET","SUBURBAN"
231,341,-32.26,1184,1496,"-20.86","MERCEDES-BENZ","C-CLASS"
237,147,61.22,1177,504,"133.53","BMW","2-SERIES"
230,187,22.99,1162,907,"28.11","LINCOLN","MKC"
295,160,84.38,1154,669,"72.50","CHEVROLET","CORVETTE"
180,189,-4.76,1148,1082,"6.10","MERCEDES-BENZ","GL/GLS-CLASS"
202,732,-72.4,1132,3788,"-70.12","BUICK","ENCORE"
276,149,85.23,1128,464,"143.10","MAZDA","6"
99,189,-47.62,1093,1364,"-19.87","CHEVROLET","EXPRESS"
183,191,-4.19,1082,1083,"-0.09","MERCEDES-BENZ","A-CLASS"
201,108,86.11,1080,810,"33.33","INFINITI","QX50"
129,5,2480.0,1057,11,"9,509.09","LAND","ROVER DEFENDER"
221,68,225.0,1052,328,"220.73","BMW","4-SERIES"
214,144,48.61,1050,626,"67.73","DODGE","CHALLENGER"
211,100,111.0,1031,497,"107.44","AUDI","Q8"
224,166,34.94,1017,761,"33.64","AUDI","A4"
209,182,14.84,978,775,"26.19","MERCEDES-BENZ","E / CLS-CLASS"
175,127,37.8,974,541,"80.04","CADILLAC","XT6"
191,154,24.03,926,719,"28.79","LINCOLN","AVIATOR"
184,126,46.03,908,827,"9.79","JAGUAR","F-PACE"
190,148,28.38,860,663,"29.71","LINCOLN","MKX/NAUTILUS"
168,0,0.0,842,0,"0.00","GENESIS","GV80"
